"Date","Project","Region","Island","Site","Latitude","Longitude","Survey_Method","Depth","Transect_Number","Transect_Distance","Transect_Segment","Transect_Length","Transect_Width","Survey_Area","Genus","Species","Colony_Length","Colony_Width","Size_Class","Disease_Type"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Pocillopora","Pocillopora_meandrina","20","","","Tissue_Loss"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Montipora","Montipora_capitata","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","180","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","10","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","60","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","140","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","20","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","30","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","35","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","30","","","Tissue_Loss"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","120","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","30","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","65","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Pocillopora","Pocillopora_meandrina","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","70","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_lobata","20","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","40","","","Predation"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","45","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Pocillopora","Pocillopora_meandrina","","","","Healthy"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","150","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","150","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_lobata","","","","Healthy"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","45","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Pocillopora","Pocillopora_meandrina","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Pavona","Pavona_varians","30","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","60","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","220","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","60","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Pavona","Pavona_varians","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","30","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","40","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","45","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","200","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Pavona","Pavona_varians","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Pavona","Pavona_varians","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_evermanni","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","100","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","35","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","100","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","50","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","65","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","45","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","15","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","35","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","35","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","50","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","65","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","45","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","75","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","45","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","60","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Discoloration"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","45","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","25","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","60","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","90","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","115","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","15","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Pocillopora","Pocillopora_meandrina","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","80","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","35","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Montipora","Montipora_patula","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","","","","Healthy"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","40","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","20","","","Trematodiasis"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","25","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","65","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","110","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","130","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","10","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","50","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","15","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","60","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_duerdeni","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Pavona","Pavona_varians","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa",">160","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","10","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","40","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","220","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_duerdeni","60","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","30","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","30","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","60","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","50","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Pavona","Pavona_varians","20","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","30","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","60","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","30","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","45","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","20","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","30","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata",">160","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","30","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","130","","","Trematodiasis"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","50","","","Predation"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_lobata","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","80","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","45","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Montipora","Montipora_capitata","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_lobata","110","","","Tissue_Loss"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","80","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","30","","","Growth_anomalies"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","140","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa",">160","","","Bleaching"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","30","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","200","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata",">160","","","Trematodiasis"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_lobata","40","","","Growth_anomalies"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Cyphastrea","Cyphastrea_ocellina","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","30","","","Algal_overgrowth"
2011-03-09,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","25","","","Pigmentation_response"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"B","","","10","1","","Porites","Porites_compressa","","","","Healthy"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa",">160","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"D","","","10","1","","Porites","Porites_compressa","100","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"C","","","10","1","","Porites","Porites_compressa","20","","","Algal_overgrowth"
2011-03-13,"Couch","MHI","Hawaii","Honaunau",19.36,155.89,"Belt_transect",10.8,"A","","","10","1","","Porites","Porites_compressa","60","","","Predation"
